City,Latitude,Longitude,Max_Temp,Humidity,Cloudy,Wind,Country,Date
busselton,-33.65,115.33,37.99,98.0,43.0,3.36,AU,1592521124.0
amahai,-3.33,128.92,82.0,99.0,63.0,3.0,ID,1592521507.0
east london,-33.02,27.91,62.67,64.0,0.0,12.86,ZA,1592521143.0
mataura,-46.19,168.86,39.0,83.0,0.0,3.0,NZ,1592521122.0
teknaf,20.86,92.31,79.03,90.0,100.0,9.06,BD,1592521595.0
ushuaia,-54.8,-68.3,33.8,74.0,18.0,4.7,AR,1592521126.0
fairbanks,64.84,-147.72,75.0,31.0,1.0,3.36,US,1592521363.0
flin flon,54.77,-101.86,41.0,86.0,90.0,12.75,CA,1592521147.0
ballitoville,-29.54,31.21,51.8,87.0,50.0,3.36,ZA,1592521558.0
atuona,-9.8,-139.03,80.04,76.0,14.0,12.08,PF,1592521127.0
zhob,31.34,69.45,80.22,18.0,0.0,1.66,PK,1592521595.0
misratah,32.38,15.09,79.79,48.0,0.0,13.02,LY,1592521596.0
ugoofaaru,5.67,73.0,83.88,74.0,43.0,8.46,MV,1592521459.0
rikitea,-23.12,-134.97,75.25,85.0,100.0,15.52,PF,1592521121.0
thompson,55.74,-97.86,39.2,100.0,90.0,11.41,CA,1592521154.0
olafsvik,64.89,-23.71,48.65,77.0,99.0,12.93,IS,1592520889.0
maragogi,-9.01,-35.22,76.48,85.0,14.0,11.05,BR,1592521596.0
pampa,35.54,-100.96,96.8,28.0,1.0,13.87,US,1592521548.0
puerto ayora,-0.74,-90.35,73.0,85.0,70.0,1.99,EC,1592521136.0
nola,40.92,14.53,68.0,72.0,0.0,3.36,IT,1592521596.0
bubaque,11.28,-15.83,81.54,84.0,31.0,14.05,GW,1592521509.0
codrington,-38.27,141.97,51.6,75.0,54.0,15.1,AU,1592521177.0
belmonte,-15.86,-38.88,73.4,94.0,90.0,9.17,BR,1592521509.0
saint george,37.1,-113.58,91.0,9.0,1.0,10.29,US,1592521146.0
torbat-e jam,35.24,60.62,69.66,23.0,0.0,5.44,IR,1592521597.0
mahasamund,21.1,82.1,81.3,74.0,100.0,13.6,IN,1592521510.0
smoky lake,54.12,-112.47,62.91,38.0,98.0,0.27,CA,1592521510.0
mount isa,-20.73,139.5,68.0,68.0,0.0,6.93,AU,1592521142.0
guerrero negro,27.98,-114.06,71.92,52.0,1.0,17.87,MX,1592521186.0
vaini,-21.2,-175.2,75.2,78.0,20.0,12.75,TO,1592521126.0
albany,42.6,-73.97,84.99,50.0,58.0,1.01,US,1592521128.0
barrow,71.29,-156.79,46.4,65.0,1.0,8.05,US,1592521143.0
grindavik,63.84,-22.43,50.0,81.0,75.0,17.22,IS,1592521511.0
punta arenas,-53.15,-70.92,39.2,86.0,90.0,13.87,CL,1592521124.0
pevek,69.7,170.31,41.58,68.0,18.0,8.81,RU,1592521144.0
nanortalik,60.14,-45.24,39.29,85.0,76.0,5.97,GL,1592521125.0
coquimbo,-29.95,-71.34,57.2,82.0,100.0,4.7,CL,1592521177.0
grand baie,-20.02,57.58,71.01,72.0,97.0,7.0,MU,1592521598.0
san-pedro,4.75,-6.64,76.95,88.0,100.0,8.66,CI,1592521512.0
upernavik,72.79,-56.15,36.14,82.0,0.0,11.72,GL,1592521131.0
auki,-8.77,160.7,84.9,68.0,1.0,3.09,SB,1592521184.0
port hardy,50.7,-127.42,62.6,67.0,75.0,6.93,CA,1592521599.0
vallentuna,59.53,18.08,59.0,82.0,0.0,1.12,SE,1592521512.0
arman,59.7,150.17,57.43,72.0,40.0,4.63,RU,1592521599.0
varkaus,62.32,27.87,57.99,93.0,0.0,2.24,FI,1592521513.0
rawson,-43.3,-65.1,54.18,51.0,81.0,15.23,AR,1592521167.0
leningradskiy,69.38,178.42,46.09,57.0,44.0,7.87,RU,1592521158.0
hobyo,5.35,48.53,78.8,75.0,82.0,26.19,SO,1592521154.0
chokurdakh,70.63,147.92,80.4,32.0,74.0,5.23,RU,1592521159.0
puerto baquerizo moreno,-0.9,-89.6,69.96,85.0,51.0,12.91,EC,1592521189.0
bibiani,6.46,-2.32,70.52,100.0,100.0,2.48,GH,1592521600.0
khatanga,71.97,102.5,53.73,56.0,65.0,13.29,RU,1592521133.0
channel-port aux basques,47.57,-59.14,58.69,81.0,79.0,8.14,CA,1592521514.0
yellowknife,62.46,-114.35,64.4,42.0,5.0,18.34,CA,1592521138.0
kalaiya,27.03,85.0,79.05,86.0,97.0,13.47,NP,1592521600.0
jamestown,42.1,-79.24,80.6,39.0,20.0,9.17,US,1592521135.0
